label,value
abbots,10
abolitionists,5
academics (people),1
academies (institutions),45
activists,24
actors (performing artists),65
administrators,86
agencies,98
agents (commercial representatives),6
agronomists,1
alliances,2
amateur architects,20
amateur artists,3
ambassadors,5
anarchists,2
anatomists,1
Animalia (kingdom),1
animators,1
anthropologists,7
antipopes,1
antiquaries,48
archaeologists,184
archbishops,22
archduchesses,1
archdukes,3
architects,46242
architectural conservationists,1
architectural critics,96
architectural engineers,12
architectural firms,15167
architectural historians,279
architectural planners,1
architectural societies,6
archives (institutions),32
archivists,8
aristocrats,81
armorers,24
art collections,2
art commissions,1
art critics,31
art dealers,44
art directors,5
art festivals,2
art galleries (institutions),371
art historians,368
art museums (institutions),67
artillery makers,4
artisans,41
artists (visual artists),126790
artists' collectives,37
assemblage artists,1
assistant artists,1
associations,209
astronauts,3
astronomers,10
astrophysicists,1
"ateliers (studios, organizations)",2
athletes,2
auction houses,16
auctioneers,7
authors,531
aviators,2
bakers,1
bankers (people),27
barometer makers,2
bibliographers,3
biochemists,1
biographers,1
biologists,4
bishops (prelates),31
blacksmiths,8
boatbuilders,1
body artists (performance artists),2
book artists (artists),10
book dealers,9
bookbinders,34
botanists,20
bricklayers,2
brickmakers,1
broadcasters,3
bronzeworkers,4
builders,230
bureaus (offices),8
burghers,2
businesses (business enterprises),16
businessmen,117
businesswomen,5
cabarets (institutions),1
cabinetmakers,176
calligraphers,4
cameramen,1
canons (clergy),3
captains (military officers),4
cardinals (prelates),62
caricaturists,9
carpenters,64
carpet makers,2
cartographers,16
cartoonists,23
carvers (people in crafts),25
casters (people),1
celebrities,1
centers,37
ceramicists,318
ceramics manufactories,95
ceramics studios (organizations),2
chancellors,3
chemists (scientists),15
chieftains,2
children (people by age group),5
choreographers,2
chroniclers,1
cinematographers,2
civil engineers,59
classicists,1
clergy,39
clerks of the works,1
clockmakers,114
clothing manufacturers,2
clubs (associations),3
cobblers,1
collagists,2
collections (object groupings),5
collectors,540
colleges (institutions),15
comedians,1
commissioners (government officials),7
commissions (boards),11
committees,36
companies,130
composers,49
computer artists,2
computer programmers,1
computer scientists,1
conceptual artists,12
concubines,2
condottieri,2
connoisseurs,7
conservation scientists,1
conservators (people in conservation),55
consortia,20
construction firms,45
construction workers,5
consuls,3
consultants,105
contracting firms (construction),5
contractors,35
cooperatives (business enterprises),13
coopers,4
coppersmiths,2
copyists,8
corporate bodies,45
corporations,64
correspondents (correspondence writers),8
cosmographers,2
costume designers,8
councils (general),83
countesses,3
courtiers,11
courts (judicial bodies),2
craftsmen,124
criminals,2
criminologists,1
critics,64
cultural centers (institutions),13
curators,119
cutlers,4
daguerreotypists,24
dancers,9
dealers,101
decorative artists,2
dedicatees,2
demolition engineers,1
dentists,1
departments (organizational units),271
deputies,2
design firms,1597
design studios (organizations),5
designers,1546
developers,218
dictators,1
die makers (numismatics),3
digital artists,2
dilettantes,1
diplomats,51
directors (administrators),38
directors (performing arts),14
divisions (organizational units),71
dogaressas,1
doges,6
dollhouse makers,2
donors,3
draftsmen (artists),165
dressmakers,1
duchesses (noblewomen),16
dukes,13
dyers,1
dynasties,2
թbթnistes,98
ecologists,11
economists,11
"editors (assembling, revising)",25
educational institutions,6
educators,23
Egyptologists,6
electors,2
electronics manufacturers,6
embroiderers,9
emperors,109
empresses,20
enamelers,5
encyclopedists,1
engineering firms,211
engineers,741
engravers (incisers),1
engravers (printmakers),28
entrepreneurs,8
environmental artists,11
environmental designers,9
environmentalists,6
epigraphers,3
essayists,1
etchers,22
ethnologists,5
etymologists,1
eugenists,1
executives,16
explorers,10
factories (organizations),7
families,127
farmers (people in agriculture),5
fashion designers,84
fashion houses,11
federations,17
feminists (people),1
feudatories,1
fiber artists,2
film critics,1
film directors,11
film producers,1
filmmakers,45
financiers,18
firms,1682
first ladies,1
fishermen (people),1
floral designers,3
folk artists,10
foremen,1
forgers (criminals),3
former administrative bodies,1
foundations (organizations),124
founders (originators),14
foundries,4
framemakers,2
friars,4
furniture designers,239
furniture makers (people),175
furniture manufactories,29
galleries (display spaces),3
gallerists,5
garden designers,196
gardeners,137
gardens (institutions),6
gem carvers,7
general contractors,1
generals,26
gentlemen,25
gentlewomen,68
geographers,11
geologists,5
gilders,11
glass designers,5
glass painters,37
glass stainers,2
glassblowers,2
glassmakers,20
glassmaking studios (organizations),2
glassworkers,31
goldsmiths,139
golf course architects,3
government architects,17
government employees,10
governmental bodies,69
governors,6
graffiti artists,1
grand duchesses,3
grand dukes,1
graphic artists,8
graphic designers,49
groups (organizations),89
guide terms,1
guilds,7
gun-stockers,2
gunsmiths,18
harpsichord makers,1
heralds,1
heroines,2
historians,146
historical figures,10
horticulturists,27
"hospitals (institutions, health facility)",1
housewives (people),1
humanists (people),21
hydraulic engineers,1
illuminators (manuscript artists),5
illustrators,60
impresarios,2
industrial designers,103
industrial engineers,3
industrialists,28
inlayers,1
installation artists,22
institutes (organizations),187
institutions (organizations),24
instructors,4
instrument makers,15
interior decorators,96
interior designers,2663
interpreters (translators),2
inventors,41
ironsmiths,14
ironworks (factories),6
jewelers (people in crafts),38
joiners,6
journalists,47
judges,2
jurists,8
kings (people),160
knights (landholders),6
laboratories,10
laborers,1
lace makers,3
landowners,33
landscape architects,2287
landscape architecture firms,508
lapidaries (people),3
lawyers,55
leaders (people),7
leatherworkers,1
letter carriers,1
letterers,1
lexicographers,2
librarians,10
libraries (institutions),56
librettists,3
lighting designers,189
linguists,3
literary critics,5
lithographers,4
locksmiths,2
makers,8
managers,15
manufactories,120
manufactory directors,1
manufacturers,312
marble workers,10
marquises (noblemen),4
masons (construction workers),116
master builders,36
masters (professionals),10
mathematicians,15
mechanical engineers,5
mechanics (people),1
medalists,38
members of Congress,1
members of Parliament,2
men (male humans),17
menuisiers,39
merchants,82
metalworkers,51
metalworking studios (organizations),3
metropolitans (prelates),2
military engineers,17
military officers,76
military personnel,1
militiamen,13
militias,1
millers (people),1
mineralogists,2
miniaturists,7
ministers (clergy),9
minters,1
miscellaneous,4
missionaries,4
mixed-media artists,10
model makers,22
modelers,20
models (people),23
monarchs,2
monks,18
mosaicists,12
motion picture studios (businesses),1
multimedia artists,1
municipal engineers,2
muralists (painters),6
museum directors,33
museums (institutions),3604
music box makers,1
musical instrument makers,28
musicians,52
musicologists,1
mystics,2
naive artists,42
naturalists,8
naval architects,6
needleworkers,5
nobles (aristocrats),330
nonprofit organizations,46
notaries,2
novelists,11
numismatists,1
nuns,4
nurserymen,2
nurses,3
occupants,1
oceanographers,1
officers (administrators),18
offices (administrative entities),5
officials,30
orators,9
organizations (groups),582
ornamentists,1
ornithologists,2
owners,12
painters (artists),1096
painters (tradespeople),3
painting studios (organizations),1
paleographers,3
paleontologists,1
panel makers,1
paper artists,6
papermakers,3
pargeters,1
parks (institutions),1
partnerships (companies),18
patriarchs,1
patricians,15
patrons,400
people (agents),1
performance artists,22
performing artists,1
pewterers,9
pharmacists,1
philanthropists,14
philologists,7
philosophers,103
photo archives,1
photoengravers,1
photographers,1310
photography studios (organizations),132
photojournalists,4
physicians,51
physicists,16
pianists,2
pioneers,3
planners,96
planning commissions,2
plantation owners,1
plasterers,10
plasterwork artists,3
playwrights,14
poets,120
politicians,166
popes,131
porcelain makers,7
porcelain painters,20
potters,69
preachers,2
preservationists,171
presidents,18
pretenders,1
priests,26
prince-bishops,3
princes (rulers),39
princesses,25
printers (people),157
printing firms,8
printmakers,12
printmaking studios (organizations),6
producers (managers),9
professional associations,14
professors (teachers),78
programs (organizations),20
prostitutes,1
psychiatrists,4
psychologists,7
public institutions,1
public officers,31
publicists,1
publishers,195
publishing houses,18
pyrotechnicians,3
queens (people),57
quiltmakers,2
rabbis,1
railroad builders,1
ranchers (people),1
real estate agents,2
reformers,3
relatives (familial),34
religious institutions,2
religious leaders,13
religious orders,1
repairers (ceramicists),10
repositories (institutions),9245
research institutes (institutions),32
researchers,6
restaurateurs (of restaurants),4
restorers,54
retailers,5
revolutionaries,14
rhetoricians,2
rulers (people),46
saddlers,2
sailors (military),2
saints,41
scenographers,36
scholars,54
schools (institutions),149
scientists,30
scribes (people),209
sculptors,1172
sculpture studios (organizations),2
sealmakers,1
secretaries (clerical workers),4
servants,8
sewers (textile workers),1
shahs,1
