ulan_id,profession_type,count
http://vocab.getty.edu/aat/300162118,abbots,10
http://vocab.getty.edu/aat/300112013,abolitionists,5
http://vocab.getty.edu/aat/300266109,academics (people),1
http://vocab.getty.edu/aat/300007089,academies (institutions),45
http://vocab.getty.edu/aat/300025826,activists,24
http://vocab.getty.edu/aat/300025658,actors (performing artists),65
http://vocab.getty.edu/aat/300025427,administrators,86
http://vocab.getty.edu/aat/300025949,agencies,98
http://vocab.getty.edu/aat/300025213,agents (commercial representatives),6
http://vocab.getty.edu/aat/300254398,agronomists,1
http://vocab.getty.edu/aat/300232423,alliances,2
http://vocab.getty.edu/aat/300386158,amateur architects,20
http://vocab.getty.edu/aat/300386179,amateur artists,3
http://vocab.getty.edu/aat/300188587,ambassadors,5
http://vocab.getty.edu/aat/300136380,anarchists,2
http://vocab.getty.edu/aat/300025807,anatomists,1
http://vocab.getty.edu/aat/300249395,Animalia (kingdom),1
http://vocab.getty.edu/aat/300025646,animators,1
http://vocab.getty.edu/aat/300025583,anthropologists,7
http://vocab.getty.edu/aat/300379813,antipopes,1
http://vocab.getty.edu/aat/300025827,antiquaries,48
http://vocab.getty.edu/aat/300025486,archaeologists,184
http://vocab.getty.edu/aat/300025753,archbishops,22
http://vocab.getty.edu/aat/300258600,archduchesses,1
http://vocab.getty.edu/aat/300258604,archdukes,3
http://vocab.getty.edu/aat/300024987,architects,46242
http://vocab.getty.edu/aat/300386257,architectural conservationists,1
http://vocab.getty.edu/aat/300025520,architectural critics,96
http://vocab.getty.edu/aat/300386348,architectural engineers,12
http://vocab.getty.edu/aat/300312082,architectural firms,15167
http://vocab.getty.edu/aat/300025540,architectural historians,279
http://vocab.getty.edu/aat/300386350,architectural planners,1
http://vocab.getty.edu/aat/300026011,architectural societies,6
http://vocab.getty.edu/aat/300312242,archives (institutions),32
http://vocab.getty.edu/aat/300162133,archivists,8
http://vocab.getty.edu/aat/300236021,aristocrats,81
http://vocab.getty.edu/aat/300025327,armorers,24
http://vocab.getty.edu/aat/300386365,art collections,2
http://vocab.getty.edu/aat/300025982,art commissions,1
http://vocab.getty.edu/aat/300168235,art critics,31
http://vocab.getty.edu/aat/300386253,art dealers,44
http://vocab.getty.edu/aat/300025102,art directors,5
http://vocab.getty.edu/aat/300386366,art festivals,2
http://vocab.getty.edu/aat/300312243,art galleries (institutions),371
http://vocab.getty.edu/aat/300025541,art historians,368
http://vocab.getty.edu/aat/300312302,art museums (institutions),67
http://vocab.getty.edu/aat/300386328,artillery makers,4
http://vocab.getty.edu/aat/300386205,artisans,41
http://vocab.getty.edu/aat/300025103,artists (visual artists),126790
http://vocab.getty.edu/aat/300265433,artists' collectives,37
http://vocab.getty.edu/aat/300386233,assemblage artists,1
http://vocab.getty.edu/aat/300386178,assistant artists,1
http://vocab.getty.edu/aat/300025950,associations,209
http://vocab.getty.edu/aat/300380152,astronauts,3
http://vocab.getty.edu/aat/300025789,astronomers,10
http://vocab.getty.edu/aat/300386259,astrophysicists,1
http://vocab.getty.edu/aat/300264536,"ateliers (studios, organizations)",2
http://vocab.getty.edu/aat/300236025,athletes,2
http://vocab.getty.edu/aat/300005234,auction houses,16
http://vocab.getty.edu/aat/300025208,auctioneers,7
http://vocab.getty.edu/aat/300025492,authors,531
http://vocab.getty.edu/aat/300386316,aviators,2
http://vocab.getty.edu/aat/300136385,bakers,1
http://vocab.getty.edu/aat/300025209,bankers (people),27
http://vocab.getty.edu/aat/300386279,barometer makers,2
http://vocab.getty.edu/aat/300025552,bibliographers,3
http://vocab.getty.edu/aat/300236030,biochemists,1
http://vocab.getty.edu/aat/300025494,biographers,1
http://vocab.getty.edu/aat/300025790,biologists,4
http://vocab.getty.edu/aat/300025756,bishops (prelates),31
http://vocab.getty.edu/aat/300025313,blacksmiths,8
http://vocab.getty.edu/aat/300264548,boatbuilders,1
http://vocab.getty.edu/aat/300386192,body artists (performance artists),2
http://vocab.getty.edu/aat/300386346,book artists (artists),10
http://vocab.getty.edu/aat/300386254,book dealers,9
http://vocab.getty.edu/aat/300025704,bookbinders,34
http://vocab.getty.edu/aat/300025791,botanists,20
http://vocab.getty.edu/aat/300025043,bricklayers,2
http://vocab.getty.edu/aat/300025282,brickmakers,1
http://vocab.getty.edu/aat/300025502,broadcasters,3
http://vocab.getty.edu/aat/300025316,bronzeworkers,4
http://vocab.getty.edu/aat/300025007,builders,230
http://vocab.getty.edu/aat/300386644,bureaus (offices),8
http://vocab.getty.edu/aat/300386272,burghers,2
http://vocab.getty.edu/aat/300025966,businesses (business enterprises),16
http://vocab.getty.edu/aat/300025210,businessmen,117
http://vocab.getty.edu/aat/300236593,businesswomen,5
http://vocab.getty.edu/aat/300386375,cabarets (institutions),1
http://vocab.getty.edu/aat/300025370,cabinetmakers,176
http://vocab.getty.edu/aat/300025107,calligraphers,4
http://vocab.getty.edu/aat/300025647,cameramen,1
http://vocab.getty.edu/aat/300025757,canons (clergy),3
http://vocab.getty.edu/aat/300236171,captains (military officers),4
http://vocab.getty.edu/aat/300025758,cardinals (prelates),62
http://vocab.getty.edu/aat/300025108,caricaturists,9
http://vocab.getty.edu/aat/300025008,carpenters,64
http://vocab.getty.edu/aat/300386344,carpet makers,2
http://vocab.getty.edu/aat/300025593,cartographers,16
