label,value
American (North American),46789
British (modern),33997
French (culture or style),23500
German (culture or style),23110
Italian (culture or style),22944
Spanish (culture or style),10278
Dutch (culture or style),9421
English (culture or style),7646
undetermined (information indicator),6230
Swiss,5083
Canadian,4481
Austrian,3959
Greek (modern),3707
Japanese (culture or style),3455
Belgian (modern),3040
Ancient Greek (culture or style),2850
Scandinavian,2840
Russian (culture or style),2770
Australian,2536
Danish (culture or style),2507
Flemish (culture or style),2351
Czech (culture or style),2156
Brazilian,2087
Swedish (culture or style),1954
South American,1632
Irish,1605
Native American,1591
Scottish,1545
West German,1538
Polish (culture),1494
Netherlandish,1427
Hungarian,1400
Attic (culture),1389
Argentine,1301
Norwegian,1239
Mexican,1237
Chilean,1218
Colombian,1183
Finnish (culture or style),1071
South African,1049
Portuguese (culture or style),972
Chinese (culture or style),948
Indian (South Asian),945
Central European,887
Eastern European,879
New Zealand,851
Venezuelan,758
Parisian,731
Israeli,649
Romanian (culture or style),531
Roman (modern culture),480
Apulian (culture or style),474
Maori (culture or style),452
"Corinthian (culture or style, general)",392
Yugoslav,364
Croatian (culture or style),363
Peruvian,336
Turkish (culture or style),311
Cuban,287
Slovene (culture or style),261
African American,251
Korean (culture or style),249
Ukrainian (culture or style),246
Etruscan (culture or style),239
East German,234
Bohemian,231
Navajo (culture or style),221
South Korean,204
Campanian (culture or style),200
Soviet (nationality or culture),195
Iranian,192
international,186
Bavarian (culture or style),186
Florentine,185
Inuit (Canadian Arctic Native style),182
European,176
Egyptian (modern),176
"African (general, continental cultures)",174
Bolognese,170
Welsh (culture or style),170
Estonian (culture or style),164
"Venetian (Republic, culture or style)",161
Bulgar,158
Puerto Rican,156
Roman Catholicism,155
Bolivian,152
Latvian (culture or style),151
Athenian,141
Dominican (national culture),140
Uruguayan,140
Ecuadorian,135
Pakistani,130
Indonesian (culture or style),127
Guatemalan,123
Persian (culture),122
Lithuanian (culture or style),119
Thai (culture or style),118
Hong Kong (culture),114
South Netherlandish,114
Slovak (culture or style),113
North Netherlandish,111
Quͩbecois (culture or style),111
Catalan (culture or style),110
Armenian (modern),109
Taiwanese,108
Hopi (culture or style),106
Sicilian (culture or style),105
Icelandic (culture or style),100
Roman (ancient Italian culture or period),96
Nigerian,96
Sioux,95
Singaporean,94
Viennese,84
Vietnamese (culture or style),82
Northern European,80
Albanian (culture or style),79
Haitian,79
Middle Eastern,75
Hamburger,73
Malaysian,72
Serbian (culture or style),72
Zuͱi,71
Neapolitan (culture or style),71
Sienese,70
Maltese (culture or style),68
Georgian (West Asian style),64
Moroccan,64
Panamanian,62
Lombard (culture or style),61
Paraguayan,61
Serbian-Montenegrin,61
Costa Rican,59
Milanese,58
Luxembourgeois (culture or style),58
Cypriote,56
Central American,54
First Nations (culture),51
Asian,51
Iraqi,50
Kiowa (culture or style),50
Lebanese,50
Zimbabwean,50
Kenyan,49
Australian Aboriginal,48
Nicaraguan,47
Jamaican,47
Imperial (Roman),46
Lakota (culture or style),45
Tunisian (North African styles),44
Genoese,43
Uzbek (culture or style),43
Cheyenne (culture or style),42
Sri Lankan,42
Prussian,42
Belorussian (culture or style),41
Algerian,40
Philippine,40
Byzantine,39
Ottoman (style),39
Santa Clara,38
Northern Irish,37
Cherokee (culture or style),36
Tuscan (culture or style),36
Ojibwa (culture or style),35
Syrian (ancient),35
San Ildefonso,34
Senegalese,34
Mexican American,33
Bangladeshi,33
Coast Salish,33
Ontarian,32
Guyanese,32
Kwakiutl (culture or style),31
Iroquois,30
"Macedonian (modern, culture or style)",30
Honduran (culture),29
Holy Roman Imperial,29
Trinidadian,29
Acoma,28
Kazak (culture or style),28
Haida (culture or style),28
Cochiti,27
Faliscan (pottery style),27
Alsatian (culture or style),27
Nova Scotian,27
Jordanian,27
Japanese-American,27
Salish (Northwest Coast Native American style),27
Silesian,26
Turkmen (modern Turkmenistan style),25
Bosnian (culture or style),25
Ethiopian (culture or style),25
Zambian,25
Maya,24
Ferrarese,24
Tlingit (culture or style),24
Dalmatian (culture or style),22
Beninese,22
